post_id,title,content,created_at,like_count,comment_count,post_url,comment001,comment002,comment003,comment004,comment005,comment006,comment007,comment008,comment009,comment010,comment011,comment012,comment013,comment014,comment015,comment016,comment017,comment018,comment019,comment020,comment021,comment022,comment023,comment024,comment025,comment026,comment027,comment028,comment029,comment030,comment031,comment032,comment033,comment034,comment035,comment036,comment037,comment038,comment039,comment040,comment041,comment042,comment043,comment044,comment045,comment046,comment047,comment048,comment049,comment050,comment051,comment052,comment053,comment054,comment055,comment056,comment057,comment058,comment059,comment060,comment061,comment062,comment063,comment064,comment065,comment066,comment067,comment068,comment069,comment070,comment071,comment072,comment073,comment074,comment075,comment076,comment077,comment078,comment079,comment080,comment081,comment082,comment083,comment084,comment085,comment086,comment087,comment088,comment089,comment090,comment091,comment092,comment093,comment094,comment095,comment096,comment097,comment098,comment099,comment100
261647346,編譯器男助教有夠像龜狗,。,2026-06-11 14:52:58,0,2,https://www.dcard.tw/f/nsysu/p/261647346,工三小啊！,我通識課也有看過西門,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261645480,換宿,想問有沒有下學期抽到翠亨的女生願意跟我換宿>< 我現在住翠亨 但下學期抽到武嶺 家住台北所以東西超級多😭 也沒有車  根本搬不過去TT  可以有償 拜託讓我換到🥹,2026-06-11 09:19:28,2,0,https://www.dcard.tw/f/nsysu/p/261645480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261649215,學校的山海樓有拉麵店嗎？好吃嗎？,rt,2026-06-12 02:13:49,0,0,https://www.dcard.tw/f/nsysu/p/261649215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261648572,雨天吃什麼,如題,2026-06-11 19:40:55,0,2,https://www.dcard.tw/f/nsysu/p/261648572,來一客海鮮,泡麵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261646990,Tronclass app無法下載,RT,2026-06-11 13:59:04,0,0,https://www.dcard.tw/f/nsysu/p/261646990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261641599,我要賣 二手小冰箱,#售 大同TATUNG變頻小冰箱 高83寬49深52  宿舍必備！ 狀態良好！ 四人共用很夠用~ 降價售$3800→$3000 價可議,2026-06-10 15:25:36,0,0,https://www.dcard.tw/f/nsysu/p/261641599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261641070,#租屋代發 #請直接聯繫房東,看起來挺不錯的,2026-06-10 14:01:20,0,1,https://www.dcard.tw/f/nsysu/p/261641070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261640985,地球科學教材,想詢問有人有地球科學能下載的所有檔案嗎？網大掛掉一個教材都看不到😭,2026-06-10 13:48:37,1,7,https://www.dcard.tw/f/nsysu/p/261640985,蹲,求求了 網大葛了,沒救了,我也卡一個（問題是很多老師當初都沒開放下載）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261640852,中醫暨整合醫學,有人有下載到全部的檔案嗎🥹學校網站當掉…需要5/14以後的🫠,2026-06-10 13:28:04,2,10,https://www.dcard.tw/f/nsysu/p/261640852,笑噴 我也卡一份 我也登不進去,卡一份😭,這我😭,我這裡有🙋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261640720,網大登不進去,有人也是嗎,2026-06-10 13:09:40,8,17,https://www.dcard.tw/f/nsysu/p/261640720,+1,爛網大,我要炸開了我還沒有交期末報告,謝謝中山大學不讓我臨時抱佛腳,+1 荒謬到笑出來 期末週還要這樣搞,爛中山,完蛋了,一起岩壁吧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261640626,張福春教授微積分,想請問修過張福春教授微積分（一）的學長姐，教授的上課方式、出題方式，是否會很依賴課本？都是怎麼樣的，本人是管院的學生，被逼無奈🥲即將暑修該教授微積分（一），還請各位學長姐們為我解答！謝謝各位！ 或者必須要用課本上課的話，有沒有學長姐想賣書的？歡迎大家聯繫我～,2026-06-10 12:53:25,1,23,https://www.dcard.tw/f/nsysu/p/261640626,不太好修 建議右轉翁哥,我記得他不會勾題目，但會附題目（就是原文書課本後面的）跟解答，我是每個單元都有刷幾十題，然後搭配看莊重的影片，我覺得他的考試不難，但是要多練習。,看到張福春請鬼轉離開謝謝,快逃,以前賣考古題賺錢 課本根本沒用 不花錢跟他買就是死路一條 不知道改了沒,5年前有暑修過 我記得他調蠻多分的 但教的內容應該比管院難上不少,他會調到平均60 反正要高於平均才會過 去年暑修修的 不好過,EZ  By管院某年微積分助教,有考慮等一學期，之後修學期間翁鵬潔的嗎 假使暑修也可能過不了 那不如想辦法修到簡單的 或者找外校可能比較容易過的微積分,有點難度 建議找考古題比較容易上手,開私訊,兩年前修的，十題大概固定出現一題考古。 三個段考都這樣 要A+有一點難度，當初總成績全體加10分，最後A+人數也才2、3個吧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261640593,財務經濟學？,期末考卷選擇佔比剩下20分怎麼猜 看不懂啊看不懂 勸退勸退 抱頭痛哭 選修幹嘛這樣欺負人啊QQ,2026-06-10 12:48:23,1,2,https://www.dcard.tw/f/nsysu/p/261640593,這我 果斷交卷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261640531,早上停電 晚上停網大,愛中山😍😍  太好了期末報告不用交了，又可以再讀一個學期了好爽,2026-06-10 12:38:16,30,1,https://www.dcard.tw/f/nsysu/p/261640531,明天停課,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261640027,騷,真的騷  出這什麼考卷,2026-06-10 11:05:13,0,0,https://www.dcard.tw/f/nsysu/p/261640027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261639968,Tronclass 作業公告,用手機開就有出現完整，但用平板開卻只出現部分的作業繳交 手機介面顯示完整但打開作業是空白頁^^ 有沒有人能解答，或是出現一樣的問題🙋‍♀️,2026-06-10 10:56:52,3,5,https://www.dcard.tw/f/nsysu/p/261639968,我也是,我連手機都登不進去了，我的期末……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261639843,二手冰箱出售,武嶺四村 價錢 ：1000元 自取價錢可以再討論 功能都可正常使用 最晚6/19搬走,2026-06-10 10:30:38,0,0,https://www.dcard.tw/f/nsysu/p/261639843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261639826,數值分析 呂宗澤教授,啊啊啊啊啊，涼了,2026-06-10 10:27:08,0,1,https://www.dcard.tw/f/nsysu/p/261639826,不是都會有考古嗎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261639812,⚽️地球科學期末問題,想請問版上有修課的各位 教授一開始有說請假會扣分嗎？ 我只記得曠課會扣 期中的時候請假蠻多次 有點抖  順便求第二位老師上課有沒有說到什麼必考的題目🥹🙏🏻,2026-06-10 10:25:06,0,1,https://www.dcard.tw/f/nsysu/p/261639812,請假如果送出申請有通過應該不會被扣分吧>< 因為我也有請一次😭 但沒有被登記在缺席的表格上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261639323,武嶺猴子,武嶺猴子不知道在兇幾點的，連食物沒在身上的都會被攻擊,2026-06-10 09:00:40,2,1,https://www.dcard.tw/f/nsysu/p/261639323,有沒有可能你看起來太固猴怨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
